гЮ╨ё╥ж╡Ц1212	x	y	╨Я╤х	╬╝╨е
B-K36	16339152.5	4216069.9	24.84	с╒11-2
B-K36	16339315.6	4216264.7	11.42	с╒╤╚102
B-K36	16339209.1	4216681.3	5.5	с╒╤╚112
B-K36	16341465.4	4213454.4	4.54	с╒╤╚114
B-K36	16339681.1	4215662.9	12.3	с╒йт10-1
B-K36	16339803	4215534.3	6.14	с╒йт11-1
B-K36	16339641.8	4215407.8	6.8	с╒йт12-1
B-K36	16339557.9	4215800.4	20.5	с╒йт13-1
B-K36	16339958.1	4215661.3	16.72	с╒йт14-1
B-K36	16339778.4	4215283.9	19.08	с╒йт15-1
B-K36	16340030.5	4215206.9	6.96	с╒йт2-1
B-K36	16341127.5	4214020.6	14.3	с╒йт6-1
B-K36	16339539.9	4215517.4	9.58	с╒йт8-1
B-K36	16339833.5	4215789.1	3.6	с╒йт9-1
B-K37	16339152.5	4216069.9	3.22	с╒11-2
B-K37	16339315.6	4216264.7	15	с╒╤╚102
B-K37	16339209.1	4216681.3	9	с╒╤╚112
B-K37	16341465.4	4213454.4	6.44	с╒╤╚114
B-K37	16340029.6	4214955.6	1.7	с╒╤╚116
B-K37	16339681.1	4215662.9	4.8	с╒йт10-1
B-K37	16339803	4215534.3	12.88	с╒йт11-1
B-K37	16339641.8	4215407.8	2.6	с╒йт12-1
B-K37	16339557.9	4215800.4	7.64	с╒йт13-1
B-K37	16339958.1	4215661.3	7.7	с╒йт14-1
B-K37	16340030.5	4215206.9	2.2	с╒йт2-1
B-K37	16341127.5	4214020.6	5.98	с╒йт6-1
B-K37	16339539.9	4215517.4	8	с╒йт8-1
B-K37	16339833.5	4215789.1	11.42	с╒йт9-1
B-K4	16339152.5	4216069.9	15.08	с╒11-2
B-K4	16339315.6	4216264.7	12.28	с╒╤╚102
B-K4	16340622.2	4214917.3	2.3	с╒╤╚103
B-K4	16341530.6	4213917	9.62	с╒╤╚104
B-K4	16339681.1	4215662.9	1.7	с╒йт10-1
B-K4	16339641.8	4215407.8	22.5	с╒йт12-1
B-K4	16339557.9	4215800.4	7.8	с╒йт13-1
B-K4	16339958.1	4215661.3	14.96	с╒йт14-1
B-K4	16340030.5	4215206.9	1.9	с╒йт2-1
B-K4	16339833.5	4215789.1	3.5	с╒йт9-1
C-K211	16339925.3	4215416.1	2.52	и╟40
C-K211	16339641.8	4215407.8	9.38	с╒йт12-1
C-K211	16339778.4	4215283.9	5.94	с╒йт15-1
C-K211	16340999.69	4214388.73	1.5	с╒йт5-1
C-K211	16339539.9	4215517.4	6.1	с╒йт8-1
C-K212	16339925.3	4215416.1	6.32	и╟40
C-K212	16339681.1	4215662.9	1.6	с╒йт10-1
C-K212	16339641.8	4215407.8	24.12	с╒йт12-1
C-K212	16339778.4	4215283.9	4.5	с╒йт15-1
C-K212	16339539.9	4215517.4	3	с╒йт8-1
C-K26	16339681.1	4215662.9	1.3	с╒йт10-1
C-K27	16339681.1	4215662.9	4.7	с╒йт10-1
C-K28	16339681.1	4215662.9	1.6	с╒йт10-1
C-K3	16339778.4	4215283.9	8.7	с╒йт15-1
C-K3	16339539.9	4215517.4	7.8	с╒йт8-1
C-K31	16339925.3	4215416.1	16.36	и╟40
C-K31	16339066.8	4215802.9	9.12	с╒╤╚107
C-K31	16339681.1	4215662.9	1.4	с╒йт10-1
C-K31	16339803	4215534.3	19.28	с╒йт11-1
C-K31	16339641.8	4215407.8	39.76	с╒йт12-1
C-K32	16339925.3	4215416.1	1.7	и╟40
C-K32	16339557.9	4215800.4	4	с╒йт13-1
C-K33	16338473.1	4216801.5	1.5	с╒╤╚108
C-K33	16339557.9	4215800.4	13.6	с╒йт13-1
C-K33	16339958.1	4215661.3	9.12	с╒йт14-1
C-K34	16339152.5	4216069.9	15.02	с╒11-2
C-K34	16339557.9	4215800.4	4.5	с╒йт13-1
C-K34	16339958.1	4215661.3	5.4	с╒йт14-1
C-K34	16339833.5	4215789.1	2.3	с╒йт9-1
C-K35	16339152.5	4216069.9	7.4	с╒11-2
C-K35	16338473.1	4216801.5	4.8	с╒╤╚108
C-K36	16339833.5	4215789.1	8.48	с╒йт9-1
C-K37	16340123.6	4216335.3	3.22	с╒╤╚106
C-K37	16340755.5	4215644.3	5.12	с╒╤╚109
C-K4	16340123.6	4216335.3	6.22	с╒╤╚106
C-K4	16340755.5	4215644.3	2.92	с╒╤╚109
