¾®ºÅ	ÈÕÆÚ	¾®¶Î¶¥	¾®¶Îµ×
L10-2166	198404	1187.2	1188.2
L10-2166	198404	1190.1	1190.7
L10-2166	198404	1191.1	1191.5
L10-2166	198404	1192.3	1192.7
L10-2166	198404	1196.2	1197.2
L10-22	197404	963.2	964.4
L10-22	197404	971.4	972.6
L10-22	197404	973.3	974.6
L10-22	197404	975.8	976.6
L10-22	197404	979.8	980.6
L10-22	197404	1000	1008
L10-22	197404	1008.5	1008.9
L10-22	197404	1011.6	1013.8
L10-22	197404	1022.8	1026
L10-22	197404	1035	1035.5
L10-22	197404	1036.5	1037.7
L10-22	197404	1042.4	1044
L10-22	197404	1047.7	1048.7
L10-22	197404	1053	1054
L10-22	197404	1055.2	1058.8
L10-22	197404	1060.8	1069
L10-22	197404	1073.7	1074.1
L10-22	197404	1074.6	1079
L10-22	197404	1082.9	1083.3
L10-22	197404	1083.7	1084.1
L10-22	197404	1084.6	1086
L10-22	197404	1087.7	1092.2
L10-22	197404	1093.7	1096.2
L10-22	197404	1101	1102.6
L10-22	197404	1108.3	1110
L10-22	197404	1112	1115.1
L10-22	197404	1115.8	1117
L10-22	197404	1118.2	1119.6
L10-22	197404	1122.6	1128.8
L10-22	197404	1132.9	1133.3
L10-22	197404	1133.8	1139.8
L10-22	197404	1147.5	1147.9
L10-22	197404	1148.5	1149.1
L10-22	197404	1150.1	1150.6
L10-22	197404	1159.8	1161.2
L10-22	197404	1161.9	1162.3
L10-22	197404	1167.2	1168.4
L10-22	197404	1171.3	1172.1
L10-22	197404	1173.9	1174.3
L10-22	197404	1175.4	1176
L10-22	197404	1176.5	1177.2
L10-22	197404	1181.6	1182.1
L10-22	197404	1184.5	1185
L10-22	197404	1187.4	1188
L10-22	197404	1190.4	1192.8
L10-22	197404	1194.4	1194.9
L10-22	197404	1198.7	1199.1
L10-2201	199305	1152.6	1153.6
L10-2201	199305	1154	1156
L10-2201	199305	1157.9	1160.4
L10-2201	199305	1158.2	1158.4
L10-2201	199305	1158.5	1158.7
L10-2201	199305	1158.9	1159.1
L10-2201	199305	1159	1159.2
L10-2201	199305	1159.6	1159.8
L10-2201	199305	1160.1	1160.3
L10-2201	199305	1161.1	1161.3
L10-2201	199305	1165	1165.6
L10-2201	199305	1165.3	1165.5
L10-2201	199305	1168.1	1168.9
L10-2201	199305	1168.6	1168.8
L10-2201	199305	1169.6	1171.2
L10-2201	199305	1170.2	1170.4
L10-2201	199305	1170.3	1170.5
L10-2201	199305	1170.9	1171.1
L10-2201	199305	1183.4	1184.6
L10-2201	199305	1185.9	1187.1
L10-2201	199305	1187.7	1188.1
L10-2201	200008	926.6	928.8
L10-2201	200008	932.6	933.6
L10-2201	200008	934	935.4
L10-2202	199305	973	973.9
L10-2202	199305	974.5	977.8
L10-2202	199305	981.1	983.2
L10-2202	199305	984	989.4
L10-2202	199305	990	990.5
L10-2202	199305	991	991.4
L10-2202	199305	991.9	992.7
L10-2202	199305	1029.2	1029.7
L10-2202	199305	1166	1167.2
L10-2202	199305	1168.5	1169.2
L10-2202	199305	1169.7	1170.1
L10-2202	199305	1170.4	1172.9
L10-2202	199305	1173.7	1174.1
L10-2202	199305	1174.4	1174.8
L10-2202	199305	1177.3	1177.7
L10-2266	198404	1117.3	1121.4
L10-2266	198404	1127.8	1128.4
L10-2266	198404	1128.8	1134.2
L10-2266	198404	1138.8	1144.6
L10-2266	198404	1154.8	1155.4
L10-2266	198404	1164	1165
L10-2266	198404	1171.6	1173.6
L10-2266	198404	1176	1177
L10-2266	198404	1180.4	1181
L10-2266	198404	1186.2	1186.8
L10-F2031	199806	1157.2	1157.7
L10-F2031	199806	1160.4	1161.4
L10-F2031	199806	1161.8	1162.4
L10-F2031	199806	1163.1	1165.6
L10-F2031	199806	1166.5	1166.9
L10-F2031	199806	1172.8	1173.3
L10-F2031	199806	1174.2	1174.7
L10-F2031	199806	1177.3	1179.4
L10-F2031	199806	1180.7	1181.4
L10-F2031	199806	1182.2	1183.1
L10-F2031	199806	1184.5	1189.3
L10-F2031	199806	1189.7	1190.8
L10-F2031	199806	1194.4	1197.6
L10-F2031	199806	1200.1	1202.6
L10-F2031	199806	1204.9	1205.5
L10-F2031	199806	1206	1207.9
L10-F2031	199806	1208.5	1209.7
L10-P193	199512	1089.7	1093.2
L10-P193	199512	1093.9	1095.9
L10-P193	199512	1097.5	1110.7
L10-P1935	199511	1097.6	1109.6
L10-P1935	199511	1111.6	1127.5
L10-P1955	199512	1096	1114.2
L10-P1955	199512	1115.6	1126.8
L10-P203	199512	1083.8	1084.7
L10-P203	199512	1085.1	1089.2
L10-P203	199512	1089.6	1103
L10-P2035	199512	1097.6	1117
L10-P2055	199511	1099.1	1101.6
L10-P2055	199511	1102.6	1106.9
L10-P2055	199511	1107.8	1119.4
L10-P212	199601	1104.6	1108.4
L10-P212	199601	1112.2	1115.2
L10-P212	199601	1116	1123.6
L10-P2135	199511	1093	1096
L10-P2135	199511	1099.2	1107
L10-P2135	199511	1107.7	1109.7
L10-P2255	199509	1095.3	1103.5
L10-P2255	199603	1103.5	1113.8
L8-1828	198409	1108.9	1109.5
L8-1828	198409	1110.7	1111.3
L8-1828	198409	1122.5	1123.1
L8-1828	198409	1126	1130.1
L8-1828	198409	1136.4	1137.1
L8-1828	198409	1139.1	1139.7
L8-1828	198409	1141	1141.8
